tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240103,11926061,16720,,,Roberto Bautista Agut,R,183,ESP,36,221012,4,,Francisco Cerundolo,R,185,ARG,25,7-5(2) 6-3 0-0,3,R16,47,2,0,67,47,38,9,11,4,4,6,3,60,36,26,12,10,0,2,112,,30,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240103,11926063,83397,,,Sebastian Ofner,R,191,AUT,28,46391,5,,Lennard Struff,R,193,DEU,34,6-7 7-6(2) 7-6(2),3,R16,504,16,1,123,70,55,29,20,4,6,14,4,131,76,56,29,19,10,12,45,,41,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240103,11926073,338500,8,,Arthur Fils,R,185,FRA,20,145112,,Q,Andrea Husler,L,196,CHE,28,7-5(2) 7-5(2) 0-0,3,R16,56,3,5,78,51,38,11,12,5,7,9,4,94,55,37,16,12,11,15,34,,229,
2437,Brisbane,Hard,,A,20240104,11925850,283070,1,,Holger Rune,R,188,DNK,21,39711,,Q,James Duckworth,R,183,AUS,32,6-2 7-6(2) 0-0,3,QF,81,13,0,65,36,31,17,11,1,1,5,2,77,51,31,16,10,3,5,15,,81,
2437,Brisbane,Hard,,A,20240104,11925856,87690,,,Jordan Thompson,R,183,AUS,30,14486,,WC,Rafael Nadal,L,185,ESP,38,5-7 7-6(2) 6-3,3,QF,47,8,3,109,67,51,20,18,6,8,7,2,108,79,58,14,16,1,3,40,,265,
2437,Brisbane,Hard,,A,20240104,11925854,23581,2,,Grigor Dimitrov,R,191,BGR,33,237452,,WC,Rinky Hijikata,R,178,AUS,23,6-1 6-4 0-0,3,QF,50,12,2,50,33,26,12,9,2,2,4,4,57,34,23,8,8,4,7,10,,77,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240104,11926060,83397,,,Sebastian Ofner,R,191,AUT,28,16720,,,Roberto Bautista Agut,R,183,ESP,36,6-4 6-4 0-0,3,QF,42,21,0,56,42,35,7,10,0,0,0,2,61,43,35,8,10,4,6,45,,112,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240104,11926065,106755,1,,Andrey Rublev,R,188,RUS,26,338500,8,,Arthur Fils,R,185,FRA,20,6-4 1-6 6-2,3,QF,712,8,0,64,40,30,15,12,4,6,12,7,92,53,38,15,13,7,10,6,,34,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240104,11926064,348853,,WC,Juncheng Shang,L,180,CHN,19,101101,3,,Frances Tiafoe,R,188,USA,26,6-4 6-4 0-0,3,QF,42,3,1,54,25,19,23,10,1,1,12,2,56,34,28,11,10,6,8,91,,29,
2437,Brisbane,Hard,,A,20240104,11925851,124930,,,Roman Safiullin,R,185,RUS,26,299538,,,Matteo Arnaldi,R,185,ITA,23,7-6(2) 6-2 0-0,3,QF,57,9,3,72,43,36,14,11,2,3,3,2,70,37,27,17,10,5,8,44,,35,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240104,11926068,167370,,,Emil Ruusuvuori,R,188,FIN,25,203258,,,Pavel Kotov,R,191,RUS,25,6-3 7-6(2) 0-0,3,QF,138,5,0,76,44,33,19,12,5,6,3,2,63,45,30,10,10,1,3,87,,53,
2437,Brisbane,Hard,,A,20240105,11925844,23581,2,,Grigor Dimitrov,R,191,BGR,33,87690,,,Jordan Thompson,R,183,AUS,30,6-3 7-5(2) 0-0,3,SF,62,10,3,67,45,39,10,11,6,6,5,1,62,39,24,14,10,5,7,10,,40,
2437,Brisbane,Hard,,A,20240105,11925847,283070,1,,Holger Rune,R,188,DNK,21,124930,,,Roman Safiullin,R,185,RUS,26,6-4 7-6(2) 0-0,3,SF,65,7,4,72,48,39,11,12,1,2,5,5,66,35,31,10,11,5,7,15,,44,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240105,11926072,106755,1,,Andrey Rublev,R,188,RUS,26,348853,,WC,Juncheng Shang,L,180,CHN,19,4-6 6-2 6-3,3,SF,42,12,1,98,55,38,29,14,13,14,4,3,78,45,27,19,13,5,8,6,,91,
2481,Auckland,Hard,,A,20240105,11941637,102151,6,,Alejandro Tabilo,L,188,CHL,27,290624,,WC,Isaac Becroft,U,180,NZL,23,6-0 6-1 0-0,3,RR,195,11,3,38,24,22,7,6,0,0,2,0,37,25,8,6,7,3,8,19,,931,
