tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,winner_odds,loser_odds,score,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,loser_rank
2437.0,Brisbane,Hardcourt outdoor,,A,20240102,11931008.0,3,R32,131.0,163636.0,,Q,Lukas Klein,R,193.0,SVK,26.0,221806.0,6,,Sebastian Baez,R,170.0,ARG,23,2.0,1.8,,4.0,6.0,6.0,0.0,0.0,9.0,2.0,83.0,51.0,38.0,18.0,15,3,5,6.0,3.0,4.0,0.0,0.0,3.0,2.0,115.0,92.0,53.0,14.0,14,11,14,128.0,18
2437.0,Brisbane,Hardcourt outdoor,,A,20240103,11925846.0,3,R16,146.0,237452.0,,WC,Rinky Hijikata,R,178.0,AUS,23.0,238300.0,,Q,Tomas Machac,R,183.0,CZE,23,2.3,1.62,,5.0,6.0,7.0,0.0,0.0,11.0,4.0,104.0,64.0,44.0,23.0,17,10,13,7.0,2.0,6.0,0.0,0.0,6.0,2.0,89.0,61.0,45.0,12.0,16,1,5,77.0,39
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240103,11926069.0,3,R16,144.0,167370.0,,,Emil Ruusuvuori,R,188.0,FIN,25.0,90080.0,2,,Karen Khachanov,R,198.0,RUS,28,2.38,1.57,,7.0,2.0,6.0,0.0,0.0,5.0,3.0,96.0,58.0,41.0,20.0,15,5,8,6.0,6.0,2.0,0.0,0.0,10.0,0.0,99.0,55.0,37.0,22.0,14,5,8,87.0,22
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240103,11926067.0,3,R16,92.0,101101.0,3,,Tiafoe Frances Tiafoe F.,R,188.0,USA,26.0,198592.0,,,Miomir Kecmanovic,R,183.0,SRB,24,1.8,2.0,,6.0,7.0,0.0,0.0,0.0,8.0,1.0,69.0,42.0,37.0,14.0,12,3,3,3.0,6.0,0.0,0.0,0.0,3.0,1.0,70.0,39.0,28.0,18.0,10,2,3,29.0,52
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240103,11926062.0,3,R16,102.0,203258.0,,,Pavel Kotov,R,191.0,RUS,25.0,261015.0,6,,Lorenzo Musetti,R,185.0,ITA,22,2.1,1.73,,6.0,6.0,0.0,0.0,0.0,2.0,4.0,71.0,48.0,38.0,8.0,9,4,4,4.0,3.0,0.0,0.0,0.0,1.0,0.0,59.0,43.0,29.0,7.0,10,1,4,53.0,25
2437.0,Brisbane,Hardcourt outdoor,,A,20240103,11925857.0,3,R16,141.0,283070.0,1,,Holger Rune,R,188.0,DNK,21.0,264344.0,,,Alexander Shevchenko,R,185.0,KAZ,23,1.29,3.75,,6.0,5.0,6.0,0.0,0.0,12.0,2.0,91.0,57.0,43.0,22.0,15,5,6,4.0,7.0,2.0,0.0,0.0,5.0,2.0,108.0,62.0,45.0,23.0,15,7,10,15.0,57
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240103,11926070.0,3,R16,212.0,348853.0,,WC,Juncheng Shang,L,180.0,CHN,19.0,102339.0,,,Botic Van De Zandschulp,R,191.0,NLD,28,2.3,1.62,,6.0,7.0,7.0,0.0,0.0,2.0,6.0,129.0,69.0,50.0,32.0,20,5,8,7.0,6.0,6.0,0.0,0.0,13.0,1.0,116.0,73.0,50.0,25.0,19,4,7,91.0,97
2437.0,Brisbane,Hardcourt outdoor,,A,20240104,11925848.0,3,R16,68.0,23581.0,2,,Grigor Dimitrov,R,191.0,BGR,33.0,127208.0,,,Daniel Altmaier,R,188.0,DEU,25,1.14,5.5,,6.0,6.0,0.0,0.0,0.0,6.0,1.0,41.0,26.0,24.0,10.0,8,3,3,1.0,2.0,0.0,0.0,0.0,3.0,3.0,49.0,28.0,17.0,6.0,7,2,6,10.0,80
2437.0,Brisbane,Hardcourt outdoor,,A,20240104,11925852.0,3,R16,75.0,14486.0,,WC,Rafael Nadal,L,185.0,ESP,38.0,39726.0,,WC,Jason Kubler,R,178.0,AUS,31,1.14,5.5,,6.0,6.0,0.0,0.0,0.0,4.0,3.0,46.0,30.0,24.0,10.0,8,4,4,1.0,2.0,0.0,0.0,0.0,1.0,3.0,46.0,35.0,20.0,2.0,7,2,6,265.0,462
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240104,11926061.0,3,R16,99.0,16720.0,,,Roberto Bautista Agut,R,183.0,ESP,36.0,221012.0,4,,Francisco Cerundolo,R,185.0,ARG,25,1.4,3.0,,7.0,6.0,0.0,0.0,0.0,2.0,0.0,67.0,47.0,38.0,9.0,11,4,4,5.0,3.0,0.0,0.0,0.0,6.0,3.0,60.0,36.0,26.0,12.0,10,0,2,112.0,30
