player,last_date,match_number,matches_played,elo_rating,sets_elo_rating,lefty_elo_rating,righty_elo_rating,hard_elo_rating,clay_elo_rating,grass_elo_rating,outdoor_elo_rating,indoor_elo_rating,set_elo_rating,game_elo_rating,service_game_elo_rating,return_game_elo_rating,tie_break_elo_rating
Stan Smith,1985-02-18,10,1114,1900.8326256934977,1500,1500,1500,1742.670302411082,1891.3907819052406,1977.6515863014438,1500,1500,1500,1500,1500,1500,1500
Boro Jovanovic,1975-05-26,279,161,1669.586969570838,1500,1500,1500,1563.9546341109801,1694.1215035016332,1425.1689175828997,1500,1500,1500,1500,1500,1500,1500
Rafael Osuna,1969-05-23,5,31,1828.295665761248,1500,1500,1500,1593.3565235287738,1768.4044044105412,1500.0,1500,1500,1500,1500,1500,1500,1500
Lenny Schloss,1972-07-12,255,48,1397.3299339742625,1500,1500,1500,1198.0363993952649,1414.262561824493,1614.2463379156036,1500,1500,1500,1500,1500,1500,1500
Jan Kodes,1983-07-18,10,783,1638.478089327167,1500,1500,1500,1695.7836871447266,1698.4240080144489,1913.6875060033592,1500,1500,1500,1500,1500,1500,1500
Jan Kukal,1975-12-26,48,139,1669.1375126912676,1500,1500,1500,1493.0702698948733,1368.3583305970647,1716.2745792410044,1500,1500,1500,1500,1500,1500,1500
Jim Osborne,1982-09-27,6,234,1711.5192561062177,1500,1500,1500,1534.300384652747,1557.8856518032633,1724.5299577664232,1500,1500,1500,1500,1500,1500,1500
Istvan Gulyas,1973-07-09,6,135,1727.0677391662632,1500,1500,1500,1621.0462312644531,1692.0562225197004,1152.7326481135317,1500,1500,1500,1500,1500,1500,1500
Pancho Guzman,1972-03-20,2,85,1573.0033307392935,1500,1500,1500,1559.7239091723848,1585.0472212133723,1197.3078240924679,1500,1500,1500,1500,1500,1500,1500
Jorgen Ulrich,1973-02-12,16,40,1682.5937681544044,1500,1500,1500,1551.6235475914152,1627.4053251477767,1518.6433858752973,1500,1500,1500,1500,1500,1500,1500
Karl Meiler,1985-01-07,2,454,1784.4741405076456,1500,1500,1500,1686.7943571852018,1753.9131506670535,1759.6712642342309,1500,1500,1500,1500,1500,1500,1500
Lothar Pawlik,1970-05-11,254,7,1612.5415075374603,1500,1500,1500,1500.0,1572.0465334901025,1500.0,1500,1500,1500,1500,1500,1500,1500
Gardnar Mulloy,1977-02-07,13,10,1573.9880629058396,1500,1500,1500,1500.0,1544.0024826849517,1500.0,1500,1500,1500,1500,1500,1500,1500
Alan Fox,1971-09-20,27,49,1722.986117066523,1500,1500,1500,1686.473075955532,1636.4317436111844,1661.6482100843107,1500,1500,1500,1500,1500,1500,1500
Herb Fitzgibbon,1973-08-29,52,83,1771.2239463861417,1500,1500,1500,1679.6923285326811,1792.3162255000852,1666.8709676087415,1500,1500,1500,1500,1500,1500,1500
