Player,Matches,Win Rate,Hand Preference,Hard +/- %,Clay +/- %,Grass +/- %
Jeff Salzenstein,56,0.2857142857142857,0,0.2727272727272727,0.3333333333333333,0.3333333333333333
Olivier Mutis,64,0.375,0,0.17647058823529413,0.4634146341463415,0.4
Daniele Bracciali,85,0.3764705882352941,0,0.3125,0.36,0.5294117647058824
Jan Michael Gambill,380,0.5157894736842106,-0.07393939393939386,0.572992700729927,0.2127659574468085,0.5227272727272727
Rainer Schuettler,643,0.49144634525660963,0.044560250745817764,0.5235457063711911,0.38961038961038963,0.55
Gustavo Kuerten,536,0.6529850746268657,-0.10270515510690181,0.6277056277056277,0.7068273092369478,0.42857142857142855
Wayne Arthurs,289,0.4602076124567474,0,0.4409937888198758,0.38461538461538464,0.5652173913043478
Fernando Vicente,363,0.4132231404958678,-0.22003968253968248,0.37254901960784315,0.45064377682403434,0.29411764705882354
Alberto Martin,470,0.44042553191489364,-0.059916354831609064,0.3443708609271523,0.5086505190311419,0.2916666666666667
Michal Tabara,92,0.41304347826086957,0,0.4358974358974359,0.45454545454545453,0.0
Antony Dupuis,208,0.3894230769230769,0,0.3917525773195876,0.3333333333333333,0.45
Tommy Haas,870,0.639080459770115,0.04111405835543769,0.649325626204239,0.6113744075829384,0.6470588235294118
Gregory Carraz,85,0.4,0,0.42857142857142855,0.0,0.35714285714285715
Lucas Arnold Ker,52,0.4230769230769231,0,0.3,0.475,0.0
Attila Savolt,96,0.4270833333333333,0,0.25,0.532258064516129,0.0
Marzio Martelli,51,0.37254901960784315,0,0.45454545454545453,0.35294117647058826,0.3333333333333333
John Van Lottum,155,0.3935483870967742,0,0.41333333333333333,0.325,0.48148148148148145
Cecil Mamiit,161,0.3416149068322981,0,0.3644067796610169,0.2727272727272727,0.23529411764705882
Juan Antonio Marin,196,0.3877551020408163,0.13577235772357726,0.22580645161290322,0.4394904458598726,0.0
Nicolas Massu,471,0.524416135881104,-0.028733211661753022,0.4634146341463415,0.5767790262172284,0.3333333333333333
Julian Alonso,112,0.44642857142857145,0,0.3225806451612903,0.5066666666666667,0.0
Martin Lee,66,0.3181818181818182,0,0.1875,0.2222222222222222,0.39473684210526316
Peter Wessels,100,0.44,0,0.45454545454545453,0.2222222222222222,0.5483870967741935
Raemon Sluiter,208,0.3942307692307692,0,0.3950617283950617,0.3770491803278688,0.4318181818181818
Ivan Ljubicic,713,0.5960729312762973,0.09773029503910557,0.61,0.5621621621621622,0.4897959183673469
Guillermo Canas,435,0.5609195402298851,-0.10209969546401665,0.5406976744186046,0.59,0.5909090909090909
Kevin Kim,137,0.29927007299270075,0,0.33980582524271846,0.14285714285714285,0.17647058823529413
Dominik Hrbaty,660,0.5212121212121212,-0.07994477911646591,0.5319148936170213,0.525,0.24
George Bastl,139,0.33093525179856115,0,0.4,0.17647058823529413,0.13333333333333333
Arnaud Clement,629,0.48171701112877585,-0.07919032640222234,0.49854227405247814,0.3983050847457627,0.5222222222222223
Andrei Stoliarov,92,0.3695652173913043,0,0.4222222222222222,0.34782608695652173,0.3125
Andre Sa,140,0.35714285714285715,0,0.4032258064516129,0.2857142857142857,0.36
Ivo Heuberger,105,0.3047619047619048,0,0.31666666666666665,0.125,0.4
Tomas Behrend,115,0.3652173913043478,0,0.3142857142857143,0.39436619718309857,0.0
Mariano Puerta,235,0.5404255319148936,0,0.36363636363636365,0.601123595505618,0.0
Lleyton Hewitt,852,0.7007042253521126,-0.08066551921973608,0.702755905511811,0.625,0.7604790419161677
Sebastien Grosjean,574,0.5853658536585366,-0.06030020703933747,0.5618729096989966,0.5878378378378378,0.6901408450704225
Luis Horna,271,0.5055350553505535,0,0.40476190476190477,0.576271186440678,0.0
Werner Eschauer,54,0.25925925925925924,0,0.15384615384615385,0.3055555555555556,0.3333333333333333
Bob Bryan,61,0.3442622950819672,0,0.2631578947368421,0.375,0.5714285714285714
David Sanchez,192,0.4166666666666667,0,0.20930232558139536,0.5,0.0
Paradorn Srichaphan,432,0.5601851851851852,-0.1150718502840592,0.6006389776357828,0.2553191489361702,0.5555555555555556
Marat Safin,670,0.6119402985074627,0.056144067796610186,0.6098265895953757,0.5918367346938775,0.5581395348837209
Giovanni Lapentti,51,0.35294117647058826,0,0.4583333333333333,0.2727272727272727,0.25
Arnaud Di Pasquale,164,0.4024390243902439,0,0.32727272727272727,0.4583333333333333,0.25
Aqeel Khan,70,0.4142857142857143,0,0.37037037037037035,0.35,0.5714285714285714
Ivan Miranda,57,0.40350877192982454,0,0.2631578947368421,0.46875,0.6666666666666666
Xavier Malisse,539,0.5269016697588126,-0.1207810320781032,0.5063291139240507,0.5045871559633027,0.6282051282051282
Julien Boutter,143,0.4195804195804196,0,0.3508771929824561,0.5172413793103449,0.1111111111111111
