tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2644.0,Brisbane,Hardcourt outdoor,,A,20240102,11925988.0,3,R32,47.0,132370.0,5,,Daria Kasatkina,R,170.0,RUS,27,230056.0,,,Marta Kostyuk,R,175.0,UKR,22,,6.0,6.0,0.0,0.0,0.0,0.0,5,51,28,21,10,9,0,2,3.0,4.0,0.0,0.0,0.0,3.0,4,74,45,27,8,10,7,12,12.0,,19,
2644.0,Brisbane,Hardcourt outdoor,,A,20240102,11926000.0,3,R32,32.0,206568.0,,,Clara Burel,R,176.0,FRA,23,90664.0,12,,Anhelina Kalinina,R,180.0,UKR,27,,6.0,6.0,0.0,0.0,0.0,2.0,4,52,29,20,11,8,3,5,4.0,1.0,0.0,0.0,0.0,1.0,4,69,49,22,8,9,6,12,45.0,,47,
2644.0,Brisbane,Hardcourt outdoor,,A,20240102,11925990.0,3,R32,23.0,157754.0,1,,Aryna Sabalenka,R,182.0,BLR,26,110055.0,,,Lucia Bronzetti,R,170.0,ITA,25,,6.0,6.0,0.0,0.0,0.0,8.0,1,44,26,21,12,8,1,1,3.0,0.0,0.0,0.0,0.0,3.0,3,32,14,9,6,7,1,5,3.0,,81,
2644.0,Brisbane,Hardcourt outdoor,,A,20240102,11925997.0,3,R32,44.0,274049.0,,,Linda Noskova,R,179.0,CZE,19,19728.0,10,,Sorana Cirstea,R,176.0,ROU,34,,6.0,4.0,6.0,0.0,0.0,8.0,4,133,127,80,1,15,11,13,4.0,6.0,4.0,0.0,0.0,10.0,1,100,98,63,0,15,5,8,26.0,,31,
2644.0,Brisbane,Hardcourt outdoor,,A,20240102,11925983.0,3,R32,58.0,210831.0,11,,Anastasia Potapova,R,175.0,RUS,23,40994.0,,WC,Daria Saville,R,166.0,AUS,30,,6.0,3.0,6.0,0.0,0.0,2.0,3,99,53,32,21,15,5,11,4.0,6.0,4.0,0.0,0.0,1.0,9,122,83,47,17,14,11,17,41.0,,82,
2644.0,Brisbane,Hardcourt outdoor,,A,20240102,11925989.0,3,R32,47.0,20732.0,16,,Karolina Pliskova,R,186.0,CZE,32,66476.0,,WC,Naomi Osaka,R,180.0,JPN,26,,3.0,7.0,6.0,0.0,0.0,16.0,11,104,68,57,14,15,10,12,6.0,6.0,4.0,0.0,0.0,14.0,2,97,64,52,15,16,0,2,46.0,,113,
2644.0,Brisbane,Hardcourt outdoor,,A,20240102,11925991.0,3,R32,44.0,66968.0,6,,Veronika Kudermetova,R,175.0,RUS,27,46304.0,,,Karolina Schmiedlova,R,176.0,SVK,29,,6.0,6.0,0.0,0.0,0.0,12.0,2,44,30,26,9,8,0,0,2.0,3.0,0.0,0.0,0.0,1.0,2,47,28,19,7,9,3,7,38.0,,74,
2554.0,Auckland,Hardcourt outdoor,,A,20240103,11927279.0,3,R16,31.0,51293.0,2,,Elina Svitolina,R,174.0,UKR,29,258756.0,,WC,Emma Raducanu,R,175.0,GBR,21,,6.0,7.0,6.0,0.0,0.0,11.0,3,128,86,55,21,16,9,13,7.0,6.0,1.0,0.0,0.0,6.0,6,104,65,39,18,15,8,14,21.0,,135,
2554.0,Auckland,Hardcourt outdoor,,A,20240103,11927273.0,3,R16,48.0,215755.0,8,,Varvara Gracheva,R,178.0,FRA,23,195182.0,,Q,Sun Sun,L,,NZL,23,,6.0,6.0,0.0,0.0,0.0,4.0,1,58,35,30,14,10,2,2,3.0,4.0,0.0,0.0,0.0,5.0,4,64,31,22,16,9,7,9,70.0,,123,
2554.0,Auckland,Hardcourt outdoor,,A,20240103,11927270.0,3,R16,29.0,264983.0,1,,Cori Gauff,R,175.0,USA,20,337408.0,,Q,Brenda Fruhvirtova,R,,CZE,17,,6.0,6.0,0.0,0.0,0.0,5.0,4,49,27,23,9,8,5,6,3.0,0.0,0.0,0.0,0.0,2.0,3,48,26,13,6,7,1,6,2.0,,88,
2554.0,Auckland,Hardcourt outdoor,,A,20240103,11927268.0,3,R16,38.0,19704.0,7,,Petra Martic,R,181.0,HRV,33,190996.0,,,Yue Yuan,R,178.0,CHN,25,,6.0,6.0,0.0,0.0,0.0,6.0,4,39,22,22,10,8,0,0,2.0,2.0,0.0,0.0,0.0,2.0,1,59,43,22,8,8,5,9,85.0,,39,
2644.0,Brisbane,Hardcourt outdoor,,A,20240103,11925979.0,3,R16,34.0,157754.0,1,,Aryna Sabalenka,R,182.0,BLR,26,45584.0,15,,Lin Zhu,R,173.0,CHN,30,,6.0,6.0,0.0,0.0,0.0,9.0,2,54,31,24,11,7,4,5,1.0,0.0,0.0,0.0,0.0,1.0,4,38,21,11,1,6,5,11,3.0,,61,
2644.0,Brisbane,Hardcourt outdoor,,A,20240103,11925970.0,3,R16,30.0,186312.0,2,,Elena Rybakina,R,184.0,KAZ,25,78551.0,13,,Elise Mertens,R,179.0,BEL,28,,6.0,6.0,0.0,0.0,0.0,4.0,0,42,36,29,2,7,1,1,1.0,0.0,0.0,0.0,0.0,3.0,1,42,28,13,4,6,10,15,4.0,,33,
2644.0,Brisbane,Hardcourt outdoor,,A,20240103,11925981.0,3,R16,42.0,132370.0,5,,Daria Kasatkina,R,170.0,RUS,27,42289.0,9,,Magda Linette,R,171.0,POL,32,,6.0,6.0,0.0,0.0,0.0,4.0,3,58,42,34,3,9,2,4,4.0,2.0,0.0,0.0,0.0,2.0,3,64,50,27,4,9,8,13,12.0,,44,
2644.0,Brisbane,Hardcourt outdoor,,A,20240103,11925984.0,3,R16,35.0,406776.0,,,Mirra Andreeva,R,175.0,RUS,17,23082.0,,WC,Arina Rodionova,R,168.0,AUS,34,,6.0,6.0,0.0,0.0,0.0,2.0,1,40,27,24,6,7,1,1,1.0,1.0,0.0,0.0,0.0,1.0,4,46,38,19,1,7,7,12,23.0,,103,
2644.0,Brisbane,Hardcourt outdoor,,A,20240103,11925972.0,3,R16,53.0,64496.0,3,,Jelena Ostapenko,R,177.0,LVA,27,20732.0,16,,Karolina Pliskova,R,186.0,CZE,32,,6.0,4.0,6.0,0.0,0.0,4.0,5,104,71,48,14,14,8,11,2.0,6.0,3.0,0.0,0.0,18.0,3,100,61,44,11,13,7,12,14.0,,46,
2644.0,Brisbane,Hardcourt outdoor,,A,20240103,11925974.0,3,R16,37.0,274049.0,,,Linda Noskova,R,179.0,CZE,19,254282.0,,Q,Julia Riera,U,,ARG,22,,6.0,6.0,6.0,0.0,0.0,2.0,4,88,65,43,12,13,4,7,1.0,7.0,3.0,0.0,0.0,6.0,2,108,81,44,12,15,11,19,26.0,,106,
2644.0,Brisbane,Hardcourt outdoor,,A,20240103,11925986.0,3,R16,37.0,19017.0,8,,Victoria Azarenka,R,183.0,BLR,34,206568.0,,,Clara Burel,R,176.0,FRA,23,,7.0,6.0,0.0,0.0,0.0,3.0,2,69,56,41,3,10,4,5,5.0,2.0,0.0,0.0,0.0,3.0,2,50,34,20,7,10,1,5,16.0,,45,
2644.0,Brisbane,Hardcourt outdoor,,A,20240103,11925982.0,3,R16,64.0,210831.0,11,,Anastasia Potapova,R,175.0,RUS,23,66968.0,6,,Veronika Kudermetova,R,175.0,RUS,27,,7.0,6.0,6.0,0.0,0.0,4.0,4,113,89,59,13,17,4,7,5.0,7.0,4.0,0.0,0.0,9.0,1,124,91,54,18,17,10,15,41.0,,38,
2554.0,Auckland,Hardcourt outdoor,,A,20240104,11927265.0,3,QF,29.0,264983.0,1,,Cori Gauff,R,175.0,USA,20,215755.0,8,,Varvara Gracheva,R,178.0,FRA,23,,6.0,6.0,0.0,0.0,0.0,5.0,1,40,29,21,8,7,0,0,1.0,1.0,0.0,0.0,0.0,1.0,2,46,29,14,6,7,2,7,2.0,,70,
2554.0,Auckland,Hardcourt outdoor,,A,20240104,11927278.0,3,QF,40.0,51293.0,2,,Elina Svitolina,R,174.0,UKR,29,105463.0,5,,Marie Bouzkova,R,180.0,CZE,25,,6.0,6.0,0.0,0.0,0.0,3.0,1,49,30,19,13,8,2,3,0.0,3.0,0.0,0.0,0.0,0.0,0,36,23,13,1,7,4,9,21.0,,40,
2554.0,Auckland,Hardcourt outdoor,,A,20240104,11927272.0,3,QF,53.0,223148.0,,,Xiyu Wang,L,182.0,CHN,23,247791.0,,,Diane Parry,R,170.0,FRA,21,,6.0,6.0,6.0,0.0,0.0,4.0,4,126,91,59,13,16,14,18,7.0,3.0,4.0,0.0,0.0,4.0,3,100,60,41,15,15,4,10,54.0,,53,
2554.0,Auckland,Hardcourt outdoor,,A,20240104,11927276.0,3,QF,41.0,207979.0,4,,Emma Navarro,R,170.0,USA,23,19704.0,7,,Petra Martic,R,181.0,HRV,33,,6.0,6.0,0.0,0.0,0.0,2.0,1,59,48,33,3,10,3,6,4.0,3.0,0.0,0.0,0.0,7.0,4,62,32,19,11,9,5,11,17.0,,85,
2644.0,Brisbane,Hardcourt outdoor,,A,20240104,11925992.0,3,QF,69.0,19017.0,8,,Victoria Azarenka,R,183.0,BLR,34,64496.0,3,,Jelena Ostapenko,R,177.0,LVA,27,,6.0,3.0,7.0,0.0,0.0,16.0,2,111,71,53,17,15,7,10,3.0,6.0,5.0,0.0,0.0,2.0,5,92,50,33,20,15,4,8,16.0,,14,
2644.0,Brisbane,Hardcourt outdoor,,A,20240104,11925973.0,3,QF,39.0,274049.0,,,Linda Noskova,R,179.0,CZE,19,406776.0,,,Mirra Andreeva,R,175.0,RUS,17,,7.0,6.0,0.0,0.0,0.0,5.0,4,71,46,27,15,10,5,8,5.0,3.0,0.0,0.0,0.0,2.0,4,69,44,25,12,11,3,9,26.0,,23,
2644.0,Brisbane,Hardcourt outdoor,,A,20240104,11925993.0,,QF,44.0,186312.0,2,,Elena Rybakina,R,184.0,KAZ,25,210831.0,11,,Anastasia Potapova,R,175.0,RUS,23,,6.0,0.0,0.0,0.0,0.0,2.0,0,25,17,13,4,4,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0,18,11,3,5,3,1,3,4.0,,41,
2644.0,Brisbane,Hardcourt outdoor,,A,20240104,11925971.0,3,QF,54.0,157754.0,1,,Aryna Sabalenka,R,182.0,BLR,26,132370.0,5,,Daria Kasatkina,R,170.0,RUS,27,,6.0,6.0,0.0,0.0,0.0,4.0,2,61,38,30,10,9,3,4,1.0,4.0,0.0,0.0,0.0,0.0,5,60,39,26,4,8,7,11,3.0,,12,
2567.0,Hobart,Hardcourt outdoor,,A,20240105,11941640.0,3,RR,43.0,213943.0,9,,Camila Osorio,R,170.0,COL,22,172590.0,,,Jodie Burrage,R,175.0,GBR,25,,6.0,6.0,0.0,0.0,0.0,0.0,3,53,33,26,8,10,2,5,3.0,4.0,0.0,0.0,0.0,2.0,4,56,31,18,8,9,3,8,84.0,,159,
2567.0,Hobart,Hardcourt outdoor,,A,20240105,11941652.0,3,RR,63.0,41374.0,7,,Viktoriya Tomova,R,170.0,BGR,29,137962.0,,,Kayla Day,L,173.0,USA,24,,3.0,6.0,6.0,0.0,0.0,1.0,2,73,59,37,7,12,1,4,6.0,0.0,3.0,0.0,0.0,3.0,0,95,71,38,10,12,7,13,48.0,,128,
2567.0,Hobart,Hardcourt outdoor,,A,20240105,11941641.0,3,RR,32.0,48625.0,,WC,Ching Chan,R,175.0,TWN,30,19876.0,3,,Yanina Wickmayer,R,182.0,BEL,34,,3.0,6.0,6.0,0.0,0.0,1.0,0,23,23,3,0,,,,6.0,4.0,2.0,0.0,0.0,0.0,0,19,19,3,1,,,,1103.0,,166,
