tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,loser_rank
2023-9900,United Cup,Hard,18,A,20230102,256,3,RR,90,104527,9,,Stan Wawrinka,R,183,SUI,37,122330,13,,Alexander Bublik,R,196,KAZ,25,6,7,,,,10,0,63,34,29,19,11,0,0,3,6,,,,7,2,59,42,33,8,10,3,4,148,37
2023-9900,United Cup,Hard,18,A,20230102,259,3,RR,131,207608,,,Timofey Skatov,R,173,RUS,21,207415,,,Daniel Michalski,R,180,POL,22,7,6,,,,3,1,78,55,44,11,10,5,5,6,2,,,,2,2,93,62,41,14,10,8,10,142,260
2023-9900,United Cup,Hard,18,A,20230102,260,3,RR,129,128034,2,,Hubert Hurkacz,R,196,POL,25,122330,13,,Alexander Bublik,R,196,KAZ,25,7,4,6,,,18,4,94,58,52,20,16,3,4,6,6,3,,,15,8,104,62,50,23,15,3,4,10,37
2023-9900,United Cup,Hard,18,A,20230102,263,3,RR,72,144817,,,Marc Andrea Huesler,L,196,SUI,26,207415,,,Daniel Michalski,R,180,POL,22,6,6,,,,3,1,52,31,27,11,9,0,0,3,2,,,,0,2,46,34,20,5,8,0,3,56,260
2023-9900,United Cup,Hard,18,A,20230102,264,3,RR,99,128034,2,,Hubert Hurkacz,R,196,POL,25,104527,9,,Stan Wawrinka,R,183,SUI,37,7,6,,,,11,0,62,32,25,23,11,1,2,6,4,,,,9,3,67,33,26,21,11,1,3,10,148
2023-9900,United Cup,Hard,18,A,20230102,267,3,RR,87,106220,,,Dimitar Kuzmanov,R,183,BUL,29,200267,,,Zizou Bergs,R,185,BEL,23,6,6,,,,2,0,48,33,21,12,7,3,3,2,0,,,,4,4,56,31,13,11,7,2,7,196,129
2023-9900,United Cup,Hard,18,A,20230102,268,3,RR,102,105777,16,,Grigor Dimitrov,R,188,BUL,31,105676,12,,David Goffin,R,180,BEL,32,6,7,,,,10,7,72,48,38,9,11,6,8,4,5,,,,2,2,64,33,22,16,11,3,7,28,53
2023-9900,United Cup,Hard,18,A,20230102,271,3,RR,67,106220,,,Dimitar Kuzmanov,R,183,BUL,29,133018,,,Michail Pervolarakis,R,193,CYP,26,6,6,,,,2,2,36,20,18,11,7,1,1,1,1,,,,2,5,48,26,14,6,7,3,8,196,506
2023-9900,United Cup,Hard,18,A,20230102,272,3,RR,,126774,1,,Stefanos Tsitsipas,R,193,GRE,24,105777,16,,Grigor Dimitrov,R,188,BUL,31,4,6,7,,,12,1,95,72,56,12,15,8,9,6,2,6,,,11,2,87,55,44,19,15,6,8,4,28
2023-2843,Adelaide 1,Hard,32,A,20230102,296,3,QF,77,106421,3,,Daniil Medvedev,R,198,RUS,26,111575,8,,Karen Khachanov,R,198,RUS,26,6,6,,,,6,5,51,33,29,7,9,2,3,3,3,,,,1,2,60,42,25,6,9,3,7,7,20
2023-9900,United Cup,Hard,18,A,20230102,276,3,RR,78,126774,1,,Stefanos Tsitsipas,R,193,GRE,24,105676,12,,David Goffin,R,180,BEL,32,6,6,,,,12,1,61,39,27,12,9,4,5,3,2,,,,2,1,49,33,22,4,8,2,6,4,53
2023-9900,United Cup,Hard,18,A,20230102,279,3,RR,132,126207,,,Frances Tiafoe,R,188,USA,24,105554,,,Daniel Evans,R,175,GBR,32,3,7,6,,,10,1,87,46,32,24,15,7,10,6,5,3,,,9,3,82,46,35,17,15,5,9,19,27
